movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,title_year,plot_keywords
Glory ,Drama|History|War,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,1989,army|black soldier|military uniform|prejudice|u.s. civil war
Spy Hard ,Action|Comedy,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,1996,1990s|dentist|hit with a door|martial arts|museum
The Fog ,Fantasy|Horror,John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,1980,california|fog|leper|lighthouse|ship
Soul Surfer ,Biography|Drama|Family|Sport,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,2011,christian|christian film|shark|surfer|surfing
Catch-22 ,Comedy|Drama|War,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,1970,catch 22|friend|insanity|kneed in the groin|military
Observe and Report ,Comedy|Crime|Drama,Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,2009,male pubic hair|mall|police detective|pubic hair|security guard
Conan the Destroyer ,Action|Adventure|Fantasy,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,1984,gods|princess|queen|rescue|wizard
Raging Bull ,Biography|Drama|Sport,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,1980,boxing|domestic violence|hot temper|jealousy|rage
Love Happens ,Drama|Romance,Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,2009,florist|motivational speaker|self help guru|seminar|widower
Young Sherlock Holmes ,Adventure|Fantasy|Mystery|Thriller,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,1985,cult|death|delusion|girl|sherlock holmes
Fame ,Comedy|Drama|Musical|Romance,Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,2009,new york|performing arts|school|student|teacher
127 Hours ,Adventure|Biography|Drama|Thriller,Danny Boyle,James Franco,Treat Williams,Kate Burton,2010,alone|aron ralston|based on autobiography|canyon|survival
Small Time Crooks ,Comedy|Crime,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,2000,apartment building|crook|new york city|three word title|written and directed by cast member
Center Stage ,Drama|Music|Romance,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,2000,ballet|dance|dancer|dancing|love
Love the Coopers ,Comedy,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,2015,christmas|family dinner|husband wife conflict|husband wife kiss|large family
Catch That Kid ,Comedy|Crime,Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,2004,caper|computer genius|dog|heist|security chief
Life as a House ,Drama,Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,2001,cancer|construction|house|house construction|neighbor
Steve Jobs ,Biography|Drama,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,2015,apple computer|box office flop|computer|dialogue driven|father daughter relationship
"I Love You, Beth Cooper ",Comedy|Romance,Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,2009,cheerleader|party|popular girl|speech|valedictorian
Youth in Revolt ,Comedy|Drama|Romance,Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,2009,alter ego|boarding school|love|masturbation|teen movie
The Legend of the Lone Ranger ,Action|Adventure|Western,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,1981,ambush|hero|masked hero|outlaw|texas ranger
The Tailor of Panama ,Drama|Thriller,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,2001,canal|panama|president|spy|tailor
Blow Out ,Mystery|Thriller,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,1981,conspiracy|political conspiracy|recording|sound|truth
Getaway ,Action|Crime|Thriller,Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,2013,die hard scenario|earth viewed from space|race against time|race car driver|title at the end
The Ice Storm ,Drama,Ang Lee,Joan Allen,Kate Burton,Henry Czerny,1997,ice|ice storm|storm|thanksgiving|virgin
And So It Goes ,Comedy|Drama|Romance,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,2014,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer
Troop Beverly Hills ,Adventure|Comedy,Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,1989,beverly hills hotel|divorce|girl|troop|wilderness
Being Julia ,Comedy|Drama|Romance,István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,2004,diva|marriage|open marriage|revenge|social climber
9½ Weeks ,Drama|Romance,Adrian Lyne,David Margulies,Karen Young,Kim Chan,1986,blindfolded woman|control|male dominance|sex game|sex in public
Dragonslayer ,Action|Adventure|Fantasy,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,1981,apprentice|dragon|king|kingdom|wizard
The Last Station ,Biography|Drama|Romance,Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,2009,countess|leo tolstoy|russian|wealth|writing
Ed Wood ,Biography|Comedy|Drama,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,1994,1950s|director|friend|friendship|transvestism
Labor Day ,Drama,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,2013,baseball|baseball practice|escaped convict|neighbor|tied to a chair
Mongol: The Rise of Genghis Khan ,Adventure|Biography|Drama|History|War,Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,2007,epic|genghis khan|one word title|slave|starving
RocknRolla ,Action|Crime|Thriller,Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,2008,accountant|finger gun|homosexual|killed in an elevator|painting
Megaforce ,Action|Sci-Fi,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,1982,dictator|electronic music score|one word title|secret headquarters|soldier
Hamlet ,Drama,Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,1996,classic literature|denmark|funeral|madness|prince
Mao's Last Dancer ,Biography|Drama|Music|Romance,Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,2009,ballet|beijing|dancer|love|village
Midnight Special ,Adventure|Drama|Sci-Fi|Thriller,Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,2016,cult|father son relationship|gas station|on the run|supernatural ability
Anything Else ,Comedy|Romance,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,2003,love at first sight|new york city|sex|teacher|writer
The Railway Man ,Biography|Drama|Romance|War,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,2013,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler
Unforgettable             ,Drama|Mystery, ,Poppy Montgomery,Dylan Walsh,Dallas Roberts, ,hyperthymesia|new york city|police
The White Ribbon ,Drama|Mystery,Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,2009,children|doctor|mysterious event|pastor|small village
Restoration ,Horror,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,2016, 
The Wraith ,Action|Horror|Romance|Sci-Fi|Thriller,Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,1986,arizona|death|gang|police|sheriff
The Salton Sea ,Crime|Drama|Mystery|Thriller,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,2002,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene
Metallica Through the Never ,Music,Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,2013,headbanger|metallica|roadie|song in title|standing on the roof of a car
The Informers ,Crime|Drama|Thriller,Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,2008,breasts|female nudity|male pubic hair|pubic hair|sex scene
Carlos             ,Biography|Crime|Drama|Thriller, ,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler, ,opec|pubic hair|revolutionary|terrorism|true crime
I Come with the Rain ,Thriller,Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,2009,gangster|hong kong|missing person|missing son|serial killer
One Man's Hero ,Action|Drama|History|Romance|War|Western,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,1999,american|battalion|catholic|mexican|sergeant
Day of the Dead ,Horror,George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato,1985,bunker|experiment|military|research|scientist
I Am Wrath ,Action|Crime|Drama|Thriller,Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,2016,conspiracy|female scientist|mugging|police detective|tattoo
Renaissance ,Action|Animation|Sci-Fi|Thriller,Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,2006,future|kidnapping|missing file|paris france|year 2054
Forsaken ,Drama|Western,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,2015, 
Red Sonja ,Action|Adventure|Fantasy,Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,1985,cult film|psychotronic|sword and sorcery|talisman|warrior
Red Lights ,Drama|Horror|Mystery|Thriller,Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,2012,fraud|physicist|psychic|skeptic|tailing
Superbad ,Comedy,Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,2007,black comedy|bromance|party|school|teen comedy
Madea Goes to Jail ,Comedy|Crime|Drama,Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,2009,adaptation directed by original author|cross dressing|madea series|remake|sequel
Wolves ,Action|Horror,David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,2014,bar|female nudity|murder|small town|werewolf
Step Up 2: The Streets ,Drama|Music|Musical|Romance,Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,2008,audition|dance|kissing in the rain|student|subway
Hoodwinked! ,Action|Animation|Comedy|Crime|Family,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,2005,animal|axe|red riding hood|wolf|woodsman
Hotel Rwanda ,Drama|History|War,Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,2004,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier
Hitman ,Action|Crime|Drama|Thriller,Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,2007,hitman|impersonation|see through dress|topless female nudity|woman on top
Black Nativity ,Drama|Family|Music|Musical,Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,2013,based on stage musical|based on the bible|christmas|color in title|nativity
The Prince ,Action|Thriller,Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,2014,assassin|fight|mechanic|rescue|rival
City of Ghosts ,Crime|Drama|Thriller,Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,2002,bag over head|buddhist temple|loss of friend|male bonding|nightclub
The Others ,Fantasy|Horror|Thriller,Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,2001,curtain|haunting|mansion|mute|xeroderma pigmentosum
Aliens ,Action|Adventure|Sci-Fi,James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,1986,alien|human versus alien|monster|rescue mission|space marine
My Fair Lady ,Drama|Family|Musical|Romance,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,1964,colonel|flower girl|professor|street|wager
I Know What You Did Last Summer ,Horror|Mystery|Thriller,Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,1997,beach|corpse|fourth of july|overalls|revenge
Let's Be Cops ,Comedy,Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,2014,friendship between men|impersonating a police officer|mobster|party|police officer
Sideways ,Adventure|Comedy|Drama|Romance,Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,2004,actor|california|teacher|wine|writer
Beerfest ,Comedy,Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,2006,beer|competition|germany|oktoberfest|prostitute
Halloween ,Horror|Thriller,John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,1978,halloween|masked killer|michael myers|slasher|trick or treat
Hero ,Action|Adventure|History,Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,2002,china|flying|king|palace|sword
Good Boy! ,Comedy|Drama|Family|Fantasy|Sci-Fi,John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,2003,dog|friend|neighborhood|planet|star
The Best Man Holiday ,Comedy|Drama,Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,2013,childbirth|christmas|gay slur|infidelity|punched in the nose
Smokin' Aces ,Action|Crime|Drama|Thriller,Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,2006,casino|fbi|mafia|mob hit|sniper
Saw 3D: The Final Chapter ,Horror|Mystery,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,2010,blood splatter|self help guru|sequel|support group|survivor
40 Days and 40 Nights ,Comedy|Romance,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,2002,female on male rape|lent|male rear nudity|masturbation|sex
TRON: Legacy ,Action|Adventure|Sci-Fi,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,2010,arcade|bridge|disappearance|escape|warrior
A Night at the Roxbury ,Comedy|Music|Romance,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,1998,1990s|bar|car accident|nightclub|whipped cream
Beastly ,Drama|Fantasy|Romance,Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,2011,love|maid|newscaster|student|tutor
The Hills Have Eyes ,Horror,Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,2006,desert|horror movie remake|murder of family|rape|slasher
Dickie Roberts: Former Child Star ,Comedy,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,2003,dental braces|dental headgear|former child star|panties|white panties
"McFarland, USA ",Biography|Drama|Sport,Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,2015,coach|high school|place name in title|school|student
Lottery Ticket ,Comedy,Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,2010,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend
ATL ,Comedy|Crime|Drama|Music|Romance,Chris Robinson,T.I.,Adam Boyer,Malika,2006,high school|rollerskating rink|spelman college|twin|voice over narration
Pitch Perfect ,Comedy|Music|Romance,Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,2012,a cappella|competition|dj|female protagonist|lesbian
Summer Catch ,Comedy|Drama|Romance|Sport,Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,2001,baseball|baseball player|night|rivalry|summer
A Simple Plan ,Crime|Drama|Thriller,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,1998,bag of money|found money|minnesota|screenplay adapted by author|snow
They ,Horror|Mystery|Thriller,Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,2002,darkness|friend|kiss|nightmare|suicide
Larry the Cable Guy: Health Inspector ,Comedy|Romance,Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,2006,diner|food poisoning|health inspector|restaurant|undercover
The Adventures of Elmo in Grouchland ,Adventure|Comedy|Family|Fantasy|Musical,Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,1999,based on tv series|blanket|box office flop|rescue|sesame street
Brooklyn's Finest ,Crime|Drama|Thriller,Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,2009,catholic|corrupt cop|new york city|police detective|police officer killed
55 Days at Peking ,Action|Adventure|Drama|History|War,Nicholas Ray,Ava Gardner,David Niven,John Ireland,1963,ambassador|boxer rebellion|china|colonialism|peking china
Evil Dead ,Horror,Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,2013,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise
My Life in Ruins ,Comedy|Romance,Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,2009,greece|greek|tour bus|tour guide|tourist
American Dreamz ,Comedy|Music,Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,2006,chief of staff|contest|president|singing|terrorist
Superman IV: The Quest for Peace ,Action|Adventure|Family|Sci-Fi,Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,1987,box office flop|dc comics|hair|nuclear disarmament|superman
How She Move ,Drama,Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,2007,dance|dance contest|loss of sister|step dancing|teenager
Running Scared ,Action|Crime|Drama|Thriller,Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,2006,adult child friendship|corrupt cop|fistfight|gangster|thug
Bobby Jones: Stroke of Genius ,Biography|Drama|Romance|Sport,Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,2004,colon in title|competition|five word title|golf|temper
Shanghai Surprise ,Adventure|Crime|Drama|Romance,Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,1986,china|missionary|opium|villain|year 1937
The Illusionist ,Drama|Mystery|Romance|Thriller,Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,2006,duchess|illusionist|magician|prince|supernatural power
Roar ,Adventure|Horror|Thriller,Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,1981,chase|dead man|jungle|killing a lion|killing a tiger
Veronica Guerin ,Biography|Crime|Drama|Thriller,Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,2003,criminal|drug lord|gunshot|irish|journalist
Escobar: Paradise Lost ,Crime|Drama|Romance|Thriller,Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,2014,colombia|dream|love|surfer|village
Southland Tales ,Comedy|Mystery|Sci-Fi|Thriller,Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,2006,amnesia|boxer|conspiracy|police|porn star
Dragon Hunters ,Adventure|Animation|Family|Fantasy,Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,2008,cgi film|computer animation|dragon|hunter
Damnation Alley ,Sci-Fi,Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,1977,cockroach|desert|ghost town|giant spider|travel
The Apparition ,Horror|Thriller,Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,2012,e mail|evil spirit|experiment|fear|supernatural
My Girl ,Comedy|Drama|Family|Romance,Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,1991,best friend|funeral|girl|overalls|summer
Fur: An Imaginary Portrait of Diane Arbus ,Biography|Drama|Romance,Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,2006,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair
The Illusionist ,Drama|Mystery|Romance|Thriller,Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,2006,duchess|illusionist|magician|prince|supernatural power
Wall Street ,Crime|Drama,Oliver Stone,Hal Holbrook,Tamara Tunie,James Karen,1987,1980s|argument|critique of capitalism|f word|fired from the job
Sense and Sensibility ,Drama|Romance,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,1995,1810s|female protagonist|horseback riding|inheritance|three word title
Becoming Jane ,Biography|Drama|Romance,Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,2007,country estate|jane austen|lady|love|writing
Sydney White ,Comedy|Romance,Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,2007,college|college girl|female protagonist|sorority|sorority house
House of Sand and Fog ,Drama,Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,2003,auction|home|house|iranian|marriage
Dead Poets Society ,Comedy|Drama,Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,1989,education|english teacher|poet|professor|student
Dumb & Dumber ,Comedy,Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,1994,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella
When Harry Met Sally... ,Comedy|Drama|Romance,Rob Reiner,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,1989,friendship|love|male female friendship|new york|sex
The Verdict ,Drama,Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,1982,archdiocese|court|hospital|lawyer|malpractice
Road Trip ,Comedy,Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,2000,blonde|college|friend|highway travel|road trip
Varsity Blues ,Comedy|Drama|Romance|Sport,Brian Robbins,Paul Walker,Ron Lester,Mark Walters,1999,coach|coyote|popularity|quarterback|texas
The Artist ,Comedy|Drama|Romance,Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,2011,1920s|jack russell terrier|modern silent movie|movie star|movie studio
The Unborn ,Drama|Fantasy|Horror|Mystery|Thriller,David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,2009,babysitting|experiment|nightmare|possession|twin
Moonrise Kingdom ,Adventure|Comedy|Drama|Romance,Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,2012,1960s|boy scouts|boy scouts camp|coming of age|young love
The Texas Chainsaw Massacre: The Beginning ,Horror,Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,2006,cannibal|car accident|leatherface|psychopath|slaughterhouse
The Young Messiah ,Drama,Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,2016,based on novel
The Master of Disguise ,Comedy|Family,Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,2002,disguise|mask|master of disguise|restaurant|waiter
Pan's Labyrinth ,Drama|Fantasy|War,Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,2006,fairy|fairy tale|faun|princess|spain
The Messengers             ,Drama|Fantasy|Mystery|Thriller, ,Joel Courtney,Jessika Van,Riley Smith, , 
See Spot Run ,Action|Comedy|Crime|Family,John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,2001,boy|fbi|mailman|van|witness protection
Baby Boy ,Crime|Drama|Romance|Thriller,John Singleton,Mo'Nique,Snoop Dogg,Angell Conwell,2001,cartoon on tv|family relationships|physical abuse|single parent|two word title
The Roommate ,Drama|Horror|Thriller,Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,2011,animal abuse(non graphic)|cat killer|college|dead cat|death of cat
Joe Dirt ,Adventure|Comedy|Drama,Dennie Gordon,Brittany Daniel,Erik Per Sullivan,Fred Ward,2001,first part|grand canyon|highway travel|indian|janitor
Double Impact ,Action|Crime,Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,1991,boat|hong kong|murder|tunnel|twins
Hot Fuzz ,Action|Comedy|Mystery,Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,2007,accident|conspiracy|police|police officer|village
The Women ,Comedy|Drama,Diane English,Jada Pinkett Smith,Debi Mazar,Debra Messing,2008,beauty salon|divorce|fashion|new york|perfume
Vicky Cristina Barcelona ,Drama|Romance,Woody Allen,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,2008,art|artist|painter|sex|summer
Arn: The Knight Templar ,Action|Adventure|Drama|Romance|War,Peter Flinth,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,2007,first part|holy land|knight templar|monastery|sword and shield
Bad Moms ,Comedy,Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,2016,lesbian kiss|mom|pta|reference to mad max|scene during end credits
Boys and Girls ,Comedy|Drama|Romance,Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,2000,best friend|break up|friendship|graduation|male in underwear
White Oleander ,Drama,Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,2002,california|foster home|love|oleander|prison
Jennifer's Body ,Comedy|Fantasy|Horror,Karyn Kusama,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,2009,cannibalism|cheerleader|condom|hook for hand|satanic ritual
Drowning Mona ,Comedy|Crime|Mystery,Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,2000,crying woman|plot|suspect|waitress|younger man older woman relationship
Radio Days ,Comedy,Woody Allen,Mike Starr,Don Pardo,Julie Kavner,1987,beach|cigarette girl|radio|woman holding a baby|working class
Left Behind ,Action|Drama|Fantasy|Mystery|Thriller,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,2014,bible quote|chaos|faith|riot|shrine
Remember Me ,Drama|Romance,Allen Coulter,Robert Pattinson,Lena Olin,Ruby Jerins,2010,binge drinking|new york|new york city|september 11 2001|suicide
How to Deal ,Comedy|Drama|Romance,Clare Kilner,Dylan Baker,Alexandra Holden,Trent Ford,2003,best friend|high school|mother|sister|wedding
My Stepmother Is an Alien ,Comedy|Romance|Sci-Fi,Richard Benjamin,Jon Lovitz,Alyson Hannigan,Tony Jay,1988,alien|earth|female alien|mission|secret
Philadelphia ,Drama,Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,1993,aids|city name in title|gay|homophobia|lawyer
The Thirteenth Floor ,Mystery|Sci-Fi|Thriller,Josef Rusnak,Gretchen Mol,Craig Bierko,Brad William Henke,1999,amnesia|barricade|letter|time|virtual reality
The Cookout ,Comedy,Lance Rivera,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,2004,flatulence|interracial marriage|marriage
Meteor ,Action|Drama|Sci-Fi|Thriller,Ronald Neame,Martin Landau,Karl Malden,Brian Keith,1979,asteroid|meteor|nasa|nuclear weapon|satellite
Duets ,Comedy|Drama|Music,Bruce Paltrow,Lochlyn Munro,Marian Seldes,Huey Lewis,2000,convict|karaoke|middle america|salesman|singer
Hollywood Ending ,Comedy|Romance,Woody Allen,Woody Allen,Debra Messing,Treat Williams,2002,blind|director|psychosomatic blindness|self deprecating|studio
Detroit Rock City ,Comedy|Music,Adam Rifkin,Natasha Lyonne,Lin Shaye,Shannon Tweed,1999,band|concert|high school|kiss|teenager
Highlander ,Action|Adventure|Fantasy,Russell Mulcahy,Christopher Lambert,Jon Polito,Celia Imrie,1986,combat|head cut off|immortal|scotland|swordsman
Things We Lost in the Fire ,Drama,Susanne Bier,Alison Lohman,Omar Benson Miller,Robin Weigert,2007,best friend|dinner|garage|narcotics anonymous|recovery
Steel ,Action|Crime|Sci-Fi,Kenneth Johnson,Charles Napier,Annabeth Gish,Hill Harper,1997,fight|gang|junkyard|military|soldier
The Immigrant ,Drama|Romance,James Gray,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,2013,immigrant|immigration|magician|money|prostitution
The White Countess ,Drama|History|Romance|War,James Ivory,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,2005,countess|diplomat|japanese|russian|shanghai
Trance ,Crime|Drama|Mystery|Thriller,Danny Boyle,Rosario Dawson,Spencer Wilding,Tuppence Middleton,2013,amnesia|criminal|heist|hypnotherapy|lost painting
Soul Plane ,Comedy,Jessy Terrero,Mo'Nique,Snoop Dogg,Tom Arnold,2004,airline|airplane|bathroom|sex|toilet
Welcome to the Sticks ,Comedy|Romance,Dany Boon,Dany Boon,Kad Merad,Michel Galabru,2008,alcohol|alcoholic drink|drunken man|france|provence
Good ,Drama|Romance|War,Vicente Amorim,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,2008,censorship|children|corpse|heil hitler|suffering
Enter the Void ,Drama|Fantasy,Gaspar Noé,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,2009,drug deal|drugs|explicit sex|love|stripper
Vamps ,Comedy|Horror|Romance,Amy Heckerling,Taylor Negron,Justin Kirk,Ivan Sergei,2012,murder|new york city|one word title|vampire|vampire slayer
Hachi: A Dog's Tale ,Drama|Family,Lasse Hallström,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,2009,dog|human animal relationship|japanese|loyalty|waiting
Zulu ,Crime|Drama|Thriller,Jérôme Salle,Orlando Bloom,Tanya van Graan,Conrad Kemp,2013,apartheid|corpse|male nudity|murder|police officer
